flag provided but not defined: -addr
Usage of C:\Users\Fwind43\Desktop\code\GenericAgent-Admin-Go\GenericAgent-Admin-Go.exe:
  -headless
    	run without browser, tray, or desktop pet; intended for Linux servers
  -no-browser
    	do not open the web UI automatically
  -port int
    	override HTTP listen port for this launch (1-65535)
  -server-only
    	alias for --headless

--- restart with -port 8799 ---
2026/06/25 09:40:38 GenericAgent Admin Go listening on http://127.0.0.1:8799
2026/06/25 09:40:51 desktop pet action=waving ticks=14 loop=false
2026/06/25 09:41:05 desktop pet action=jumping ticks=16 loop=false
2026/06/25 09:41:20 desktop pet action=waiting ticks=18 loop=true
2026/06/25 09:41:36 desktop pet action=running ticks=18 loop=true
2026/06/25 09:41:52 desktop pet action=review ticks=18 loop=true
2026/06/25 09:42:08 desktop pet action=waving ticks=14 loop=false
2026/06/25 09:42:24 desktop pet action=jumping ticks=16 loop=false
2026/06/25 09:42:40 desktop pet action=waiting ticks=18 loop=true
2026/06/25 09:42:57 desktop pet action=running ticks=18 loop=true
2026/06/25 09:43:15 desktop pet action=review ticks=18 loop=true
2026/06/25 09:43:29 desktop pet action=waving ticks=14 loop=false
2026/06/25 09:43:44 desktop pet action=jumping ticks=16 loop=false
2026/06/25 09:43:59 desktop pet action=waiting ticks=18 loop=true
2026/06/25 09:44:14 desktop pet action=running ticks=18 loop=true
2026/06/25 09:44:30 desktop pet action=review ticks=18 loop=true
2026/06/25 09:44:46 desktop pet action=waving ticks=14 loop=false
2026/06/25 09:45:02 desktop pet action=jumping ticks=16 loop=false
2026/06/25 09:45:18 desktop pet action=waiting ticks=18 loop=true
2026/06/25 09:45:35 desktop pet action=running ticks=18 loop=true
2026/06/25 09:45:52 desktop pet action=review ticks=18 loop=true
2026/06/25 09:46:09 desktop pet action=waving ticks=14 loop=false
2026/06/25 09:46:24 desktop pet action=jumping ticks=16 loop=false
2026/06/25 09:46:38 desktop pet action=waiting ticks=18 loop=true
2026/06/25 09:46:54 desktop pet action=running ticks=18 loop=true
